,Country Name,Country Code,year,annualFreshwater,arableLand,foodProductionIndex,agriculturalGDP,name,region,sub-region,AgriculturalLand,GDP,aGDP
158,Austria,AUT,2012,3.49,0.160747503,95.94999695,1.34855139,Austria,Europe,Western Europe,33.13225283,409402000000.0,552099636168.7799
159,Austria,AUT,2017,3.49,0.15105769,98.51999664,1.210536431,Austria,Europe,Western Europe,32.16941348,417261000000.0,505109641735.49097
160,Bulgaria,BGR,1982,14.144,0.428148967,173.1499939,17.17781684,Bulgaria,Europe,Eastern Europe,55.87996023,19342000000.0,332253333319.27997
161,Bulgaria,BGR,1987,13.02902667,0.426356809,156.4400024,11.79618574,Bulgaria,Europe,Eastern Europe,55.735334,28101000000.0,331484615479.74
162,Bulgaria,BGR,1992,7.325533333,0.473878488,128.1199951,11.61802789,Bulgaria,Europe,Eastern Europe,55.62686432,10350515464.0,120252577336.6283
163,Bulgaria,BGR,1997,6.5802,0.517079504,102.5100021,20.47684372,Bulgaria,Europe,Eastern Europe,56.06978216,11315986087.0,231715678641.19333
164,Bulgaria,BGR,2002,6.5887,0.428088692,86.97000122,9.710569628,Bulgaria,Europe,Eastern Europe,48.94301471,16402846413.0,159280982190.82654
165,Bulgaria,BGR,2007,6.2018,0.408861737,65.69999695,4.654687763,Bulgaria,Europe,Eastern Europe,47.1043182,44405101470.0,206691882427.1823
166,Bulgaria,BGR,2012,5.7146,0.454017362,83.86000061,4.429975085,Bulgaria,Europe,Eastern Europe,47.19049374,54300857424.0,240551445482.45728
167,Bulgaria,BGR,2017,5.658,0.493090183,106.2300034,4.040907239,Bulgaria,Europe,Eastern Europe,46.3294031,59199447421.0,239219475628.3188
168,China,CHN,1982,460.465,0.101573421,26.53000069,32.7857031,China,Asia,Eastern Asia,47.04864998,205090000000.0,6724019848779.0
169,China,CHN,1987,488.636,0.111539757,33.68000031,26.32089964,China,Asia,Eastern Asia,51.84913636,272973000000.0,7184894937429.72
170,China,CHN,1992,516.9333333,0.106064534,41.70000076,21.32886137,China,Asia,Eastern Asia,54.66483177,426916000000.0,9105632180634.92
171,China,CHN,1997,539.9714286,0.097298335,57.52000046,17.89527674,China,Asia,Eastern Asia,55.57139159,961604000000.0,17208169694290.959
172,China,CHN,2002,552.18,0.094228123,69.54000092,13.30148771,China,Asia,Eastern Asia,55.69563782,1470550000000.0,19560502751940.5
173,China,CHN,2007,568.7,0.092228769,79.76999664,10.24616576,China,Asia,Eastern Asia,56.00835158,3550340000000.0,36377372144358.4
174,China,CHN,2012,598.8,0.088583951,94.66999817,9.11371387,China,Asia,Eastern Asia,56.10782831,8532230000000.0,77760302893030.1
175,China,CHN,2017,591.8,0.085582163,102.8700027,7.463565017,China,Asia,Eastern Asia,56.07935055,12310400000000.0,91879470785276.8
176,France,FRA,1982,32.5316,0.316786357,100.6699982,4.0526358,France,Europe,Western Europe,57.7939463,584878000000.0,2370297521432.4
177,France,FRA,1987,36.0022,0.317035993,103.6800003,3.088145442,France,Europe,Western Europe,57.25885099,934173000000.0,2884862091989.4663
178,France,FRA,1992,39.219,0.303254567,102.3099976,2.592788751,France,Europe,Western Europe,55.48974918,1401470000000.0,3633715650863.97
179,France,FRA,1997,30.331,0.304680204,106.6100006,2.344255815,France,Europe,Western Europe,54.86023603,1452880000000.0,3405922388497.1997
180,France,FRA,2002,32.354,0.297248134,104.3399963,2.010858852,France,Europe,Western Europe,54.0768527,1501410000000.0,3019123588981.3203
181,France,FRA,2007,30.992,0.285649449,94.87999725,1.612992953,France,Europe,Western Europe,53.33892179,2660590000000.0,4291512920822.27
